Rank	Card Name	PWR	ADP	APR	Deals	Drafted	Plays	W-Hand	W-Play	WtdPWR	Elo/Play
352	Junk Room	1.97	4.18	5.27	29	28	26	4	4	2.86	-5.48
353	Sculptor	1.97	4.33	6.69	29	21	13	5	4	1.82	-3.04
354	Skimmer Plow	1.95	2.81	9.09	22	16	11	4	3	2.34	0.30
355	Plow Builder	1.95	4.24	9.43	22	17	7	5	3	1.69	4.74
356	Furrows	1.95	5.00	10.60	22	13	10	4	3	2.27	2.56
357	Hunting Trophy	1.95	5.20	12.40	22	10	5	5	3	1.43	17.95
358	New Market	1.95	5.24	8.67	22	17	9	4	3	1.82	-0.35
359	Lasso	1.93	3.56	9.33	37	27	18	8	5	2.36	3.10
360	New Purchase	1.90	3.67	7.29	15	9	7	3	2	2.19	0.52
361	Petrified Wood	1.90	3.89	8.50	15	9	6	4	2	1.90	1.04
362	Mandoline	1.90	4.00	5.60	15	10	5	4	2	1.43	-0.81
363	Lumber Pile	1.90	4.18	8.29	15	11	7	3	2	2.00	-2.28
364	Pipe Smoker	1.90	4.50	9.75	15	12	4	5	2	1.33	0.55
365	Shifting Cultivation	1.90	4.71	9.64	45	31	25	9	6	2.06	-4.53
366	Paintbrush	1.90	5.55	11.67	15	11	6	5	2	2.10	4.16
367	Knapper	1.90	6.14	6.86	30	21	7	9	4	1.29	-2.06
368	Straw-Thatched Roof	1.88	3.85	10.46	38	33	13	7	5	1.73	4.37
369	Stock Protector	1.86	2.71	8.75	23	21	12	7	3	2.17	-1.15
370	Barn Shed	1.86	2.90	8.64	23	21	14	6	3	2.55	-2.99
371	Forestry Studies	1.86	3.29	3.58	23	17	12	5	3	2.42	0.37
372	Newly-Plowed Field	1.86	4.37	12.00	23	19	13	4	3	2.24	-1.89
373	Eternal Rye Cultivation	1.86	4.73	11.70	23	15	10	5	3	2.05	0.00
374	Henpecked Husband	1.86	4.88	5.17	23	16	6	4	3	1.43	2.84
375	Granary	1.84	3.65	7.47	31	20	15	5	4	2.17	-0.56
376	Home Brewer	1.84	5.13	8.90	31	23	10	8	4	1.47	-0.20
377	Stone Weir	1.79	2.55	8.45	16	11	11	2	2	2.41	-6.00
378	Sample Stable Maker	1.79	2.56	5.00	24	18	9	7	3	1.90	0.22
379	Forest Lake Hut	1.79	2.79	7.71	24	24	17	5	3	2.50	-5.07
380	Market Stall	1.79	3.00	6.71	24	15	14	4	3	2.80	2.64
381	Firewood	1.79	3.55	3.75	16	11	8	2	2	2.14	-1.86
382	Mud Patch	1.79	3.56	7.25	16	16	12	2	2	2.68	-5.88
383	Tree Farm Joiner	1.79	3.75	3.45	24	24	11	8	3	1.90	-2.48
384	Ranch Provost	1.79	4.35	7.30	32	23	10	10	4	1.61	3.50
385	Lazy Sowman	1.79	4.68	10.86	24	19	7	8	3	1.43	3.12
386	Sheep Rug	1.79	4.73	11.50	24	15	6	8	3	1.61	8.20
387	Acquirer	1.79	4.75	4.60	24	12	5	5	3	1.31	4.23
388	Greening Plan	1.79	4.82	13.40	24	17	5	7	3	1.31	6.82
389	Debt Security	1.79	5.67	10.33	16	6	3	4	2	1.34	5.52
390	Pumpernickel	1.79	5.75	8.09	24	16	11	4	3	2.02	-2.44
391	Mushroom Collector	1.73	3.04	5.20	33	27	15	10	4	2.03	-1.02
392	Dentist	1.71	2.80	4.00	25	20	13	4	3	2.17	-2.37
393	Canvas Sack	1.71	4.14	1.82	25	22	11	8	3	1.94	-1.85
394	Riverine Shepherd	1.71	4.33	7.83	25	15	6	5	3	1.31	2.87
395	Pickler	1.71	4.75	7.20	25	20	10	8	3	1.89	1.64
396	Wood Pile	1.71	5.15	10.70	25	20	10	5	3	2.00	-0.35
397	Sower	1.71	5.29	7.50	25	17	6	5	3	1.43	3.41
398	Muck Rake	1.71	5.50	9.73	25	12	11	4	3	1.71	-2.91
399	Market Crier	1.68	3.93	8.55	34	27	20	6	4	2.27	-2.66
400	Clay Deposit	1.68	4.00	7.83	17	11	6	3	2	1.68	-2.05
401	Interim Storage	1.68	4.14	4.56	17	14	9	4	2	2.27	-1.97
402	Cowherd	1.68	4.45	11.12	34	22	8	6	4	1.18	-0.79
403	Grange	1.68	5.25	13.50	17	12	4	5	2	1.51	5.48
404	Inner Districts Director	1.65	3.63	5.70	26	19	10	6	3	1.70	-3.96
405	Craftsmanship Promoter	1.65	5.29	7.17	26	17	6	6	3	1.37	6.55
406	Strawberry Patch	1.63	4.36	12.33	35	25	12	6	4	1.80	0.60
407	Little Stick Knitter	1.63	4.55	6.67	35	29	6	14	4	1.22	7.47
408	Saddler	1.59	3.42	8.08	27	24	13	4	3	2.01	-2.54
409	Nave	1.59	3.57	12.20	18	14	5	2	2	1.19	-2.45
410	Profiteering	1.59	3.71	6.85	18	14	13	2	2	2.46	-4.58
411	Grain Bag	1.59	3.73	8.18	18	15	11	2	2	2.62	-2.96
412	Rod Collection	1.59	4.82	9.40	18	11	5	3	2	1.67	3.46
413	Digging Spade	1.59	4.92	8.29	18	12	7	4	2	1.83	-0.28
414	Baker	1.55	4.57	10.21	46	35	19	14	5	1.93	-1.35
415	Paper Maker	1.55	4.71	4.44	46	28	18	7	5	1.71	-0.06
416	Scythe Worker	1.55	5.00	9.41	46	31	17	13	5	1.55	-3.72
417	Field Merchant	1.54	4.76	8.17	37	29	12	8	4	1.70	2.26
418	Wood Cart	1.53	2.25	8.57	28	28	21	4	3	2.76	-5.12
419	Basket	1.53	3.44	5.14	28	9	7	4	3	1.43	4.11
420	Stone Company	1.50	3.47	8.89	19	15	9	5	2	2.03	-1.54
421	Pellet Press	1.50	4.33	7.40	19	12	5	5	2	1.43	3.93
422	Retraining	1.50	5.00	11.00	19	10	6	3	2	1.35	-6.07
423	Forest Well	1.50	5.17	10.50	19	12	6	2	2	1.50	1.00
424	Reseller	1.48	5.35	9.56	29	17	9	7	3	1.38	-2.43
425	Packaging Artist	1.48	5.50	5.80	29	18	5	7	3	1.18	9.11
426	Nightworker	1.43	3.00	5.00	10	8	4	3	1	1.86	1.69
427	Stable Cleaner	1.43	3.42	7.29	30	26	14	4	3	1.86	-2.36
428	Spice Trader	1.43	3.81	3.73	30	16	11	6	3	1.52	0.18
429	Petting Zoo	1.43	4.00	7.64	20	15	11	3	2	2.36	-0.17
430	Chophouse	1.43	4.25	7.38	20	16	13	2	2	2.50	-3.19
431	Livestock Feeder	1.43	4.32	8.50	30	22	12	7	3	1.67	-2.05
432	Tutor	1.43	4.33	4.00	40	15	9	6	4	1.25	3.15
433	Stable Manure	1.43	4.33	4.00	10	6	5	2	1	1.71	-10.85
434	Emergency Seller	1.43	4.91	10.00	20	11	4	4	2	1.14	4.59
435	Millwright	1.43	5.00	9.30	30	19	10	4	3	1.48	-1.48
436	Stable Architect	1.43	5.36	13.07	50	25	14	9	5	1.29	-0.45
437	Fern Seeds	1.43	5.50	12.40	20	10	5	2	2	1.36	1.52
438	Sheep Well	1.43	5.53	11.17	30	15	6	8	3	1.10	0.83
439	Trout Pool	1.43	5.67	6.75	20	9	4	3	2	1.14	4.02
440	Gardener's Knife	1.43	5.91	12.00	20	11	5	4	2	1.36	4.63
441	Stone Carver	1.39	5.45	7.67	41	22	6	11	4	0.91	2.53
442	Organic Farmer	1.38	6.11	14.00	31	18	5	8	3	1.01	7.17
443	Prophet	1.36	4.00	12.62	21	18	8	5	2	1.50	-2.11
444	Half-Timbered House	1.36	4.28	13.20	21	18	5	5	2	1.29	3.99
445	Forest School	1.36	4.43	6.80	21	14	10	2	2	1.50	-11.41
446	Mineral Feeder	1.36	4.58	9.80	21	12	5	4	2	1.29	3.51
447	Bellfounder	1.34	4.35	5.25	32	26	12	7	3	1.47	-3.85
448	Geologist	1.33	3.11	4.60	43	38	25	10	4	2.36	-3.35
449	Beneficiary	1.30	3.71	7.75	33	21	12	5	3	1.60	0.04
450	Overhaul	1.30	3.77	11.78	22	13	9	3	2	1.75	-1.45
451	Master Tanner	1.30	4.31	9.17	22	16	6	2	2	1.17	-3.21
452	Braid Maker	1.30	4.44	8.56	33	25	9	8	3	1.47	1.77
453	Village Peasant	1.30	4.59	13.14	33	27	7	9	3	1.21	3.78
454	Second Spouse	1.30	4.65	10.80	33	23	5	11	3	0.95	7.39
455	Asparagus Knife	1.30	4.93	8.00	22	14	5	3	2	1.10	1.70
456	Storeroom	1.30	5.14	12.75	22	14	4	5	2	1.04	6.82
457	Grain Thief	1.24	4.82	11.50	23	17	2	5	2	0.75	13.62
458	Treegardener	1.19	2.19	3.85	24	21	13	4	2	2.08	-2.30
459	Forest Inn	1.19	3.77	5.33	24	13	6	5	2	1.19	1.62
460	Veggie Lover	1.19	3.86	12.21	24	22	14	3	2	2.50	-0.10
461	Big Country	1.19	4.00	11.33	12	9	3	4	1	1.19	-1.23
462	Agricultural Labourer	1.19	4.18	8.00	24	22	7	6	2	1.25	-1.28
463	Clay Puncher	1.19	4.78	4.00	24	18	8	5	2	1.55	-3.03
464	Forest Guardian	1.19	4.82	5.29	24	17	7	6	2	1.25	-1.60
465	Champion Breeder	1.19	5.28	12.00	24	18	4	5	2	1.07	9.23
466	Master Renovator	1.19	5.69	7.50	24	13	2	6	2	0.71	14.07
467	Wall Builder	1.16	4.88	4.86	37	16	7	5	3	1.08	2.54
468	Small-scale Farmer	1.14	3.38	1.52	50	29	21	6	4	1.63	-3.61
469	Oyster Eater	1.14	3.90	7.50	25	10	4	5	2	0.80	0.66
470	Cubbyhole	1.10	4.11	6.17	26	19	12	5	2	1.87	-3.36
471	Fodder Beets	1.10	4.33	8.67	13	6	3	2	1	1.32	5.34
472	Equipper	1.10	4.52	4.09	26	21	11	3	2	1.48	-5.72
473	Huntsman's Hat	1.10	4.60	12.33	13	5	3	1	1	1.10	1.57
474	Cob	1.10	4.83	6.00	26	6	4	2	2	0.88	4.17
475	Automatic Water Trough	1.10	5.25	4.50	13	4	2	2	1	0.99	7.34
476	Portmonger	1.06	2.73	4.42	27	22	12	6	2	1.69	-2.62
477	Manger	1.06	3.44	10.50	27	9	4	4	2	0.74	0.61
478	Scholar	1.05	4.58	7.20	41	19	5	8	3	0.84	9.04
479	Large Pottery	1.02	4.17	11.67	14	12	3	5	1	1.22	7.80
480	Beating Rod	1.02	4.33	6.80	14	9	5	2	1	1.63	-1.04
481	Claw Knife	1.02	4.71	6.67	14	7	3	3	1	0.82	-3.98
482	Beer Tent Operator	1.02	4.93	7.80	28	14	5	4	2	0.87	2.91
483	Early Cattle	1.02	5.29	12.00	14	7	3	1	1	0.82	-3.95
484	Iron Hoe	1.02	5.40	9.33	14	5	3	2	1	1.22	9.53
485	Remodeling	1.02	5.50	9.67	14	8	3	2	1	1.02	-1.93
486	Silokeeper	0.99	5.60	8.00	29	10	3	4	2	0.64	5.26
487	Potato Planter	0.95	4.64	4.00	15	11	6	3	1	1.62	-1.43
488	Barley Mill	0.95	5.40	10.00	15	5	1	1	1	0.57	14.89
489	Corn Schnapps Distillery	0.95	6.00	11.67	15	5	3	1	1	1.14	5.29
490	Acorns Basket	0.92	5.12	11.62	31	17	8	4	2	1.20	0.39
491	Stone Clearing	0.92	5.13	11.88	31	23	8	7	2	1.20	0.40
492	Hide Farmer	0.92	5.48	13.83	31	23	6	13	2	1.01	1.65
493	Hammer Crusher	0.89	4.10	11.00	16	10	6	2	1	1.34	-3.05
494	Wares Salesman	0.89	4.13	6.25	16	15	4	5	1	1.16	2.80
495	Upscale Lifestyle	0.89	4.23	11.00	16	13	7	2	1	1.96	-2.67
496	Ambition	0.89	4.82	9.60	16	11	10	2	1	2.05	-5.75
497	Soldier	0.89	5.67	13.50	16	9	2	2	1	0.80	6.24
498	Gritter	0.89	5.73	9.86	16	11	7	3	1	1.79	-1.62
499	Sour Dough	0.89	5.92	11.38	16	12	8	2	1	1.70	-6.31
500	Stable Yard	0.89	6.00	13.00	16	4	1	2	1	0.54	17.59
501	Milking Stool	0.87	3.72	10.13	33	29	23	3	2	2.29	-5.32
502	Fellow Grazer	0.87	5.28	14.00	33	18	5	3	2	0.82	8.49
503	Telegram	0.84	3.50	12.00	17	2	1	2	1	0.50	8.41
504	Stone Buyer	0.84	4.08	8.00	17	12	6	4	1	0.92	-9.60
505	Whale Oil	0.84	4.08	3.67	17	13	9	5	1	2.02	-1.15
506	Syrup Tap	0.84	4.29	6.00	17	14	9	1	1	1.51	-9.50
507	Established Person	0.84	4.75	3.00	17	8	4	1	1	0.92	-3.85
508	Stork's Nest	0.84	4.75	9.00	17	8	2	2	1	0.76	4.70
509	Thick Forest	0.84	5.00	7.70	34	14	10	3	2	1.26	-0.85
510	Herbal Garden	0.84	5.55	12.50	17	11	4	3	1	1.09	1.95
511	Shelter	0.84	6.00	14.00	17	4	1	1	1	0.50	10.10
512	Porter	0.82	3.83	6.08	35	23	12	5	2	1.47	0.03
513	Brick Hammer	0.79	3.00	4.56	18	14	9	2	1	1.75	-7.12
514	Stable Tree	0.79	3.67	4.00	18	15	10	3	1	1.67	-5.84
515	Pole Barns	0.79	3.70	14.00	18	10	3	3	1	0.95	6.11
516	Upholstery	0.79	3.88	5.12	18	8	8	1	1	1.35	-4.59
517	Godmother	0.79	4.31	6.29	18	13	7	3	1	1.43	-6.34
518	Farm Building	0.79	4.38	9.71	18	13	7	1	1	1.27	-4.84
519	Cow Patty	0.79	4.67	12.50	18	6	4	2	1	1.03	0.48
520	Beer Keg	0.79	5.10	10.00	18	10	4	4	1	1.03	-0.55
521	Ale-Benches	0.79	5.20	6.75	18	10	4	4	1	0.87	-2.02
522	Agricultural Fertilizers	0.79	5.50	11.00	18	10	4	4	1	0.87	-4.47
523	Archway	0.75	2.88	4.50	19	8	4	2	1	0.83	-6.13
524	Shed Builder	0.75	4.19	6.60	19	16	10	4	1	2.18	0.00
525	Dung Collector	0.75	4.38	12.67	19	13	6	3	1	1.13	-4.68
526	Trimmer	0.75	4.44	9.00	19	9	5	1	1	0.90	-6.44
527	Wholesale Market	0.75	4.75	14.00	19	8	2	3	1	0.68	11.06
528	Farmyard Manure	0.75	4.90	7.83	19	10	6	2	1	1.28	-2.43
529	Master Fencer	0.75	5.33	10.33	19	9	3	4	1	0.75	1.66
530	Field Doctor	0.71	3.67	7.29	20	9	7	1	1	1.43	-2.15
531	Breed Registry	0.71	3.75	8.33	20	8	6	1	1	1.07	-5.21
532	Slurry	0.71	4.00	7.54	20	14	13	2	1	2.29	-3.99
533	Patch Caregiver	0.71	4.38	10.44	20	16	9	5	1	1.57	-4.61
534	Wood Rake	0.71	4.50	11.33	20	12	6	3	1	1.21	-2.25
535	Tree Cutter	0.71	4.58	3.00	20	12	1	7	1	0.43	12.48
536	Building Tycoon	0.71	4.87	4.44	40	23	9	7	2	0.96	-1.21
537	Truffle Searcher	0.71	5.21	12.00	20	14	1	6	1	0.43	16.57
538	Rolling Pin	0.71	5.50	6.50	20	12	8	1	1	1.36	-4.35
539	Hardworking Man	0.68	4.30	7.50	21	10	2	4	1	0.48	-1.74
540	Plow Driver	0.68	4.45	10.40	42	20	5	7	2	0.65	1.40
541	Seed Researcher	0.68	4.50	8.71	21	18	7	7	1	1.36	-0.10
542	Stablehand	0.68	5.17	9.00	42	18	8	5	2	0.95	2.27
543	Bartering Hut	0.68	5.25	12.00	21	8	2	3	1	0.48	0.96
544	Heirloom	0.68	5.67	7.50	21	9	4	2	1	0.88	-0.12
545	Swagman	0.65	3.00	4.67	22	17	6	6	1	1.10	-3.87
546	Iron Oven	0.65	3.76	9.88	22	17	8	2	1	1.36	-4.80
547	Pottery Yard	0.65	5.83	13.00	22	6	1	3	1	0.39	12.57
548	Stone Importer	0.65	6.00	13.00	22	12	1	5	1	0.39	16.10
549	Seducer	0.62	4.93	9.60	23	14	5	2	1	0.75	-6.72
550	Livestock Expert	0.62	5.20	11.00	23	10	5	2	1	1.12	3.34
551	Beer Stein	0.62	5.33	8.00	23	9	2	4	1	0.43	0.27
552	Drinking Trough	0.62	5.58	9.00	23	12	9	2	1	1.24	-6.70
553	Clay Hut Builder	0.60	3.76	7.82	48	38	17	7	2	1.22	-6.20
554	Omnifarmer	0.60	4.54	11.67	24	13	3	2	1	0.71	5.87
555	Housebook Master	0.60	4.73	11.33	24	11	3	3	1	0.48	-8.37
556	Collector	0.57	2.65	7.33	25	23	15	5	1	2.17	-4.21
557	Lumber Virtuoso	0.57	4.11	4.67	25	9	3	2	1	0.69	3.47
558	Bottles	0.57	4.36	9.29	25	22	7	7	1	1.14	-2.94
559	Museum Caretaker	0.57	4.80	7.67	25	15	3	5	1	0.57	1.32
560	Full Peasant	0.57	5.29	11.00	25	14	1	6	1	0.34	17.25
561	Clay Embankment	0.57	5.62	10.33	25	8	3	3	1	0.69	1.04
562	Diligent Farmer	0.57	5.84	11.00	25	19	2	7	1	0.51	10.56
563	Chairman	0.55	4.00	2.50	26	20	12	5	1	1.59	-2.87
564	Smuggler	0.55	4.94	6.20	26	16	5	4	1	0.88	6.84
565	Elder	0.55	5.13	1.00	26	15	12	2	1	1.48	-5.48
566	Master Workman	0.55	5.50	4.75	26	18	4	4	1	0.60	-0.96
567	Bed in the Grain Field	0.53	3.71	11.25	27	21	4	6	1	0.58	-5.88
568	Emissary	0.53	4.33	5.83	27	15	6	4	1	0.79	-3.43
569	Chief Forester	0.53	4.40	8.67	27	25	3	6	1	0.53	0.83
570	Mayor Candidate	0.53	4.85	8.56	27	13	9	2	1	1.16	-4.09
571	Nutrition Expert	0.53	5.00	11.50	27	20	2	4	1	0.48	5.34
572	Miller	0.53	5.12	4.33	27	16	3	6	1	0.63	4.58
573	Animal Driver	0.53	5.21	12.00	27	14	3	4	1	0.53	-2.53
574	Market Stall	0.53	5.31	9.00	27	13	6	3	1	0.79	-3.50
575	Fodder Planter	0.53	5.35	11.00	27	17	1	7	1	0.32	15.01
576	Butler	0.51	4.44	10.25	28	9	4	4	1	0.46	-5.97
577	Hollow Warden	0.51	4.64	5.73	28	22	11	5	1	1.43	-4.29
578	Freemason	0.51	5.00	8.00	28	6	3	1	1	0.61	6.27
579	Small Animal Breeder	0.51	5.17	1.50	28	6	2	2	1	0.46	9.92
580	Loppers	0.51	5.20	9.40	28	10	5	3	1	0.82	0.77
581	Merchant	0.49	5.06	7.50	29	17	4	7	1	0.64	0.62
582	Clutterer	0.49	5.83	1.00	29	6	1	1	1	0.30	14.26
583	Timber Shingle Maker	0.49	6.50	12.60	29	14	5	6	1	0.69	-0.52
584	Soil Scientist	0.48	5.09	10.67	30	22	6	7	1	0.81	-2.11
585	Storehouse Steward	0.46	4.73	4.22	31	15	9	3	1	0.83	-8.13
586	Reed Roof Renovator	0.46	5.85	10.50	31	13	2	4	1	0.41	6.20
587	Canal Boatman	0.45	2.80	6.00	32	15	8	1	1	0.85	-4.41
588	Seed Seller	0.43	4.44	7.64	33	18	11	3	1	1.30	-3.69
589	Lumber Mill	0.43	5.35	8.20	33	17	10	4	1	1.00	-7.73
590	Transactor	0.43	5.47	13.75	33	19	4	5	1	0.56	-0.46
591	Food Merchant	0.43	5.93	12.00	33	15	2	8	1	0.39	4.74
592	Dwelling Mound	0.41	6.09	2.14	35	11	7	4	1	0.73	-5.77
593	Large Greenhouse	0.40	4.12	5.88	36	26	16	6	1	1.55	-4.99
594	Tax Collector	0.40	4.50	10.33	36	20	6	6	1	0.67	-2.97
595	Seed Trader	0.40	5.61	11.40	36	18	5	4	1	0.56	-3.17
596	Manservant	0.39	4.90	8.67	37	20	3	6	1	0.39	-0.35
597	Frame Builder	0.38	5.30	8.17	38	23	6	5	1	0.71	-0.70
598	Turnip Farmer	0.38	5.46	9.14	38	24	7	3	1	0.60	-7.69
599	Firewood Collector	0.37	3.76	4.88	39	29	16	3	1	1.28	-7.26
600	Priest	0.35	4.20	7.29	41	15	7	4	1	0.77	1.26
601	Cube Cutter	0.31	6.33	9.60	46	12	5	4	1	0.43	-2.76
602	Bed Maker	0.00	3.89	3.00	15	9	2	2	0	0.38	-6.00
603	Curator	0.00	0.00	0.00	6	0	0	0	0	0.00	0.00
604	Catcher	0.00	1.00	0.00	11	1	0	0	0	0.00	0.00
